region,brand,collection,price,cost,quantity_sold,sales_revenue,total_cost,gross_profit,year_quarter,year
Midwest,Jeffrey Alexander,Prestige,14.14,8.62,434,6136.76,3741.08,2395.68,2015-Q1,2015
Northwest,Elements,Florence,6.83,4.27,54,368.82,230.58,138.24,2015-Q1,2015
West,Jeffrey Alexander,Modena,17.68,11.08,450,7956,4986,2970,2015-Q1,2015
West,Elements,Calloway,7.63,4.85,467,3563.21,2264.95,1298.26,2015-Q1,2015
West,Elements,Torino,2.52,1.6,380,957.6,608,349.6,2015-Q1,2015
Northeast,Jeffrey Alexander,Zane,17.15,10.77,689,11816.35,7420.53,4395.82,2015-Q1,2015
East coast,Jeffrey Alexander,Marlo,8.05,5.13,85,684.25,436.05,248.2,2015-Q1,2015
East coast,Elements,Belfast,7.35,4.9,649,4770.15,3180.1,1590.05,2015-Q1,2015
Central,Jeffrey Alexander,Leyton,19.5,11.24,100,1950,1124,826,2015-Q1,2015
West,Jeffrey Alexander,Alvar,13.83,8.65,762,10538.46,6591.3,3947.16,2015-Q1,2015
South,Jeffrey Alexander,Backplates,5.09,3.22,340,1730.6,1094.8,635.8,2015-Q1,2015
Central,Elements,Asher,8.55,5.94,856,7318.8,5084.64,2234.16,2015-Q1,2015
Northeast,Jeffrey Alexander,Prestige,167.5,107.39,704,117920,75602.56,42317.44,2015-Q1,2015
East coast,Jeffrey Alexander,Cordova,8.59,5.36,742,6373.78,3977.12,2396.66,2015-Q1,2015
Northeast,Jeffrey Alexander,Leyton,16.59,10.5,496,8228.64,5208,3020.64,2015-Q1,2015
South,Jeffrey Alexander,Chesapeake,10.6,6.87,712,7547.2,4891.44,2655.76,2015-Q1,2015
Northeast,Jeffrey Alexander,Tuscany,9.45,5.85,577,5452.65,3375.45,2077.2,2015-Q1,2015
West,Jeffrey Alexander,Bremen,15.99,9.92,279,4461.21,2767.68,1693.53,2015-Q1,2015
South,Jeffrey Alexander,Kensington,13.53,7.77,487,6589.11,3783.99,2805.12,2015-Q1,2015
East coast,Jeffrey Alexander,Bremen,12.45,8.05,994,12375.3,8001.7,4373.6,2015-Q1,2015
Northeast,Jeffrey Alexander,Mirada,16.19,8.99,689,11154.91,6194.11,4960.8,2015-Q1,2015
Central,Elements,Drake,6.1,3.91,516,3147.6,2017.56,1130.04,2015-Q1,2015
West,Jeffrey Alexander,Anwick,53.75,31.57,450,24187.5,14206.5,9981,2015-Q1,2015
Midwest,Elements,Vienna,3.19,2.13,955,3046.45,2034.15,1012.3,2015-Q1,2015
East coast,Jeffrey Alexander,Chesapeake,10.6,6.24,641,6794.6,3999.84,2794.76,2015-Q1,2015
Northeast,Jeffrey Alexander,Zane,22.65,13.18,274,6206.1,3611.32,2594.78,2015-Q1,2015
